"","replicate","year","alpha","evenness","dispersion","site","web","plot","quad","transect","plot.1","subplot","SPEI.comp","log_alpha"
"1","core_black.1.E.1.NA.NA","2002",6.2996987463738,0.404945154586411,1.29356326139153,"core_black",1,"E",1,NA,"E",NA,-0.289589058617517,1.84050181421826
"2","core_black.1.E.1.NA.NA","2006",12.1003001975327,0.33349567909697,2.00663482026478,"core_black",1,"E",1,NA,"E",NA,0.854070754711956,2.49323026200839
"3","core_black.1.E.1.NA.NA","2011",3.84271085240377,0.471604688478098,1.34844240076407,"core_black",1,"E",1,NA,"E",NA,-1.27899330959885,1.34617806868015
"4","core_black.1.E.1.NA.NA","2012",9.10161003264314,0.378473115435871,1.9647636862987,"core_black",1,"E",1,NA,"E",NA,-1.07222681808199,2.20845132453721
"5","core_black.1.E.1.NA.NA","2013",14.9444689869925,0.355391452234748,1.97222386867798,"core_black",1,"E",1,NA,"E",NA,-1.56234450831405,2.70434126395661
"6","core_black.1.E.1.NA.NA","2018",9.50318336546286,0.462437024748831,1.52651764488012,"core_black",1,"E",1,NA,"E",NA,-0.319106818412414,2.25162683357736
"7","core_black.1.E.1.NA.NA","2019",8.62224963090225,0.402953824929665,1.43619481585378,"core_black",1,"E",1,NA,"E",NA,0.258627082989807,2.15434602868966
"8","core_black.1.E.2.NA.NA","2001",2.67290673099395,0.340196334296896,0.949481845870326,"core_black",1,"E",2,NA,"E",NA,-0.45237770781825,0.98316654354163
"9","core_black.1.E.3.NA.NA","1999",10.5597486090376,0.40075544346914,1.58411877893469,"core_black",1,"E",3,NA,"E",NA,NA,2.3570494720324
"10","core_black.1.E.3.NA.NA","2000",0.430834442612227,0.59463681898321,1.37884681868554,"core_black",1,"E",3,NA,"E",NA,NA,-0.842031386542405
"11","core_black.1.E.3.NA.NA","2001",0.50390609523704,0.573843258033486,1.37693754003411,"core_black",1,"E",3,NA,"E",NA,-0.45237770781825,-0.685365347244432
"12","core_black.1.E.3.NA.NA","2002",13.8689318684555,0.325654039762699,2.08189229349196,"core_black",1,"E",3,NA,"E",NA,-0.289589058617517,2.62965122115622
"13","core_black.1.E.3.NA.NA","2004",0.513799036744331,0.573873533191252,1.37506721506783,"core_black",1,"E",3,NA,"E",NA,-0.679932829356234,-0.66592306907586
"14","core_black.1.E.3.NA.NA","2005",23.1192494705505,0.389154985703937,2.24154829125791,"core_black",1,"E",3,NA,"E",NA,0.400374734913259,3.14066558093083
"15","core_black.1.E.3.NA.NA","2006",7.52116941512975,0.163969924342672,1.57880857644545,"core_black",1,"E",3,NA,"E",NA,0.854070754711956,2.01772163320282
"16","core_black.1.E.3.NA.NA","2007",0.297324539131819,0.431925420081727,0.755431707763842,"core_black",1,"E",3,NA,"E",NA,2.08317983280342,-1.21293101241857
"17","core_black.1.E.3.NA.NA","2008",7.59799508590031,0.3208075260619,1.73370744314671,"core_black",1,"E",3,NA,"E",NA,-1.3976313856639,2.02788440800296
"18","core_black.1.E.3.NA.NA","2013",9.21288820653262,0.22760158338808,1.60394696111141,"core_black",1,"E",3,NA,"E",NA,-1.56234450831405,2.22060339573565
"19","core_black.1.E.3.NA.NA","2018",3.60877503123379,0.401155951492078,1.23611635422883,"core_black",1,"E",3,NA,"E",NA,-0.319106818412414,1.28336838823248
"20","core_black.1.E.3.NA.NA","2019",8.89318420708252,0.430494888923927,1.44707555810318,"core_black",1,"E",3,NA,"E",NA,0.258627082989807,2.18528516391967
"21","core_black.1.E.4.NA.NA","1999",8.38785193395837,0.282000741644153,1.93144041925058,"core_black",1,"E",4,NA,"E",NA,NA,2.12678446075683
"22","core_black.1.E.4.NA.NA","2000",1.29416386205384,0.437454122777146,1.13201732630201,"core_black",1,"E",4,NA,"E",NA,NA,0.257864820251513
"23","core_black.1.E.4.NA.NA","2001",5.46842915647934,0.38961885015605,1.91148873124377,"core_black",1,"E",4,NA,"E",NA,-0.45237770781825,1.69899140087323
"24","core_black.1.E.4.NA.NA","2002",5.79936161073186,0.402692559597126,1.26463779432706,"core_black",1,"E",4,NA,"E",NA,-0.289589058617517,1.75774784437935
"25","core_black.1.E.4.NA.NA","2003",5.57137522290424,0.303394975463761,1.76170561544808,"core_black",1,"E",4,NA,"E",NA,0.468574221020838,1.71764192165233
"26","core_black.1.N.1.NA.NA","2002",7.67565705359061,0.301252725826899,1.45582509753976,"core_black",1,"N",1,NA,"N",NA,-0.289589058617517,2.03805389939732
"27","core_black.1.N.1.NA.NA","2005",5.56107341530919,0.218196614254704,1.637691129817,"core_black",1,"N",1,NA,"N",NA,0.400374734913259,1.71579114993616
"28","core_black.1.N.1.NA.NA","2006",9.75189969921008,0.171898162353897,1.4634314658734,"core_black",1,"N",1,NA,"N",NA,0.854070754711956,2.27746210697535
"29","core_black.1.N.1.NA.NA","2008",22.7617532590825,0.379627853792892,2.12444117714618,"core_black",1,"N",1,NA,"N",NA,-1.3976313856639,3.12508163876415
"30","core_black.1.N.1.NA.NA","2011",8.06060514799522,0.379827921440223,1.41427642142477,"core_black",1,"N",1,NA,"N",NA,-1.27899330959885,2.08698863409657
"31","core_black.1.N.1.NA.NA","2012",7.99079015866355,0.437618517247278,1.34402760113645,"core_black",1,"N",1,NA,"N",NA,-1.07222681808199,2.0782896483383
"32","core_black.1.N.1.NA.NA","2013",6.50505964016789,0.524086568350025,1.27094314593431,"core_black",1,"N",1,NA,"N",NA,-1.56234450831405,1.8725802802803
"33","core_black.1.N.1.NA.NA","2015",2.63964106191476,0.334864930168628,1.28335099287518,"core_black",1,"N",1,NA,"N",NA,0.358944156698242,0.970642946518711
"34","core_black.1.N.1.NA.NA","2016",4.02238571384814,0.418804042021998,1.54710198772922,"core_black",1,"N",1,NA,"N",NA,-1.07147907376887,1.39187518775875
"35","core_black.1.N.1.NA.NA","2017",4.52898333193093,0.235260916497046,1.07304578186472,"core_black",1,"N",1,NA,"N",NA,-0.708009381866228,1.51049748426943
"36","core_black.1.N.1.NA.NA","2018",0.565630274701898,0.474992554805104,0.897015990720053,"core_black",1,"N",1,NA,"N",NA,-0.319106818412414,-0.569814639131608
"37","core_black.1.N.2.NA.NA","2002",2.57244074223235,0.247830853483462,0.96401987507148,"core_black",1,"N",2,NA,"N",NA,-0.289589058617517,0.944855153371289
"38","core_black.1.N.3.NA.NA","1999",12.4239694134166,0.454409411005746,2.51090549180567,"core_black",1,"N",3,NA,"N",NA,NA,2.51962762394836
"39","core_black.1.N.3.NA.NA","2001",15.3888533112096,0.333961645706027,2.26708418218761,"core_black",1,"N",3,NA,"N",NA,-0.45237770781825,2.73364343638154
"40","core_black.1.N.3.NA.NA","2002",9.24328941511737,0.427350470438385,1.38944602829373,"core_black",1,"N",3,NA,"N",NA,-0.289589058617517,2.22389781960866
"41","core_black.1.N.3.NA.NA","2003",11.291715501584,0.435647085156843,2.50272421321263,"core_black",1,"N",3,NA,"N",NA,0.468574221020838,2.42406931538593
"42","core_black.1.N.3.NA.NA","2004",12.9711647115789,0.449996368123521,2.60992742047424,"core_black",1,"N",3,NA,"N",NA,-0.679932829356234,2.56272879472667
