"","replicate","year","alpha","evenness","dispersion","site","web","plot","quad","transect","plot.1","subplot","SPEI.comp","log_alpha"
"1","core_black.1.E.1.NA.NA","2002",9.19304391757749,0.424850885409135,1.4253150527435,"core_black",1,"E",1,NA,"E",NA,-0.289589058617517,2.21844710215482
"2","core_black.1.E.1.NA.NA","2006",19.375696979653,0.595586451340341,2.18624052425581,"core_black",1,"E",1,NA,"E",NA,0.854070754711956,2.96401954773577
"3","core_black.1.E.1.NA.NA","2011",4.82687829281812,0.663544599317667,1.44121225982855,"core_black",1,"E",1,NA,"E",NA,-1.27899330959885,1.57419994252541
"4","core_black.1.E.1.NA.NA","2012",12.8984651452205,0.489447051378051,2.12610929241957,"core_black",1,"E",1,NA,"E",NA,-1.07222681808199,2.55710832329817
"5","core_black.1.E.1.NA.NA","2013",21.6392619005837,0.375333021119156,2.24111562021891,"core_black",1,"E",1,NA,"E",NA,-1.56234450831405,3.07450934529047
"6","core_black.1.E.1.NA.NA","2018",12.2033418043592,0.466090265747463,1.74165161972376,"core_black",1,"E",1,NA,"E",NA,-0.319106818412414,2.50170983262052
"7","core_black.1.E.1.NA.NA","2019",9.75381494647005,0.48047812433476,1.47814049303995,"core_black",1,"E",1,NA,"E",NA,0.258627082989807,2.27765848504207
"8","core_black.1.E.2.NA.NA","2001",5.85320558545861,0.457073225562266,1.29930098412998,"core_black",1,"E",2,NA,"E",NA,-0.45237770781825,1.76698947449294
"9","core_black.1.E.3.NA.NA","1999",15.4315571584449,0.510811186149224,1.82578814005455,"core_black",1,"E",3,NA,"E",NA,NA,2.73641457887526
"10","core_black.1.E.3.NA.NA","2000",0.627814743571601,0.554508928621017,1.64874558399894,"core_black",1,"E",3,NA,"E",NA,NA,-0.465510150346057
"11","core_black.1.E.3.NA.NA","2001",0.621639510237766,0.555356371877199,1.65695406035992,"core_black",1,"E",3,NA,"E",NA,-0.45237770781825,-0.47539491979012
"12","core_black.1.E.3.NA.NA","2002",19.3957531533671,0.41350789180906,2.09805381264793,"core_black",1,"E",3,NA,"E",NA,-0.289589058617517,2.96505413248482
"13","core_black.1.E.3.NA.NA","2004",0.625063431344768,0.555314881562203,1.66153870165824,"core_black",1,"E",3,NA,"E",NA,-0.679932829356234,-0.469902144243883
"14","core_black.1.E.3.NA.NA","2005",29.5832849050445,0.431275406245471,2.69928841072325,"core_black",1,"E",3,NA,"E",NA,0.400374734913259,3.38720950267349
"15","core_black.1.E.3.NA.NA","2006",16.6421884514766,0.404348377992598,1.87095764588743,"core_black",1,"E",3,NA,"E",NA,0.854070754711956,2.81194094426202
"16","core_black.1.E.3.NA.NA","2007",0.392438736185124,0.507480889010175,0.803616105334822,"core_black",1,"E",3,NA,"E",NA,2.08317983280342,-0.935374840094936
"17","core_black.1.E.3.NA.NA","2008",11.941052046546,0.431947913335494,2.04756354341404,"core_black",1,"E",3,NA,"E",NA,-1.3976313856639,2.47998221518391
"18","core_black.1.E.3.NA.NA","2013",18.8178181565697,0.403540428385701,2.03601913285525,"core_black",1,"E",3,NA,"E",NA,-1.56234450831405,2.93480419526706
"19","core_black.1.E.3.NA.NA","2018",4.96988303646912,0.647896651883666,1.33662848039808,"core_black",1,"E",3,NA,"E",NA,-0.319106818412414,1.60339630592198
"20","core_black.1.E.3.NA.NA","2019",9.67929705480542,0.483392325596829,1.45137598901668,"core_black",1,"E",3,NA,"E",NA,0.258627082989807,2.26998928034642
"21","core_black.1.E.4.NA.NA","1999",9.40415609003668,0.315411354780754,1.96409002065548,"core_black",1,"E",4,NA,"E",NA,NA,2.24115172880004
"22","core_black.1.E.4.NA.NA","2000",1.82432590639576,0.496983519796903,1.18419439053305,"core_black",1,"E",4,NA,"E",NA,NA,0.601210552443413
"23","core_black.1.E.4.NA.NA","2001",6.73734897348894,0.414670708837311,1.97008127997177,"core_black",1,"E",4,NA,"E",NA,-0.45237770781825,1.90766652017519
"24","core_black.1.E.4.NA.NA","2002",8.71510055396798,0.454948284400923,1.45406264919461,"core_black",1,"E",4,NA,"E",NA,-0.289589058617517,2.16505721693961
"25","core_black.1.E.4.NA.NA","2003",10.0996592554988,0.437838066647223,2.24653568361619,"core_black",1,"E",4,NA,"E",NA,0.468574221020838,2.31250168619877
"26","core_black.1.N.1.NA.NA","2002",12.2337186058026,0.440875481666449,1.84972282220727,"core_black",1,"N",1,NA,"N",NA,-0.289589058617517,2.50419595955884
"27","core_black.1.N.1.NA.NA","2005",12.4664902341022,0.498073706988224,2.20295604852477,"core_black",1,"N",1,NA,"N",NA,0.400374734913259,2.52304426330749
"28","core_black.1.N.1.NA.NA","2006",20.6400108837422,0.366215175930391,1.91005727244742,"core_black",1,"N",1,NA,"N",NA,0.854070754711956,3.02723146792631
"29","core_black.1.N.1.NA.NA","2008",37.5987842692861,0.390552751253403,2.62991467661654,"core_black",1,"N",1,NA,"N",NA,-1.3976313856639,3.62697171660945
"30","core_black.1.N.1.NA.NA","2011",7.99259493968307,0.395549243419105,1.41281233682279,"core_black",1,"N",1,NA,"N",NA,-1.27899330959885,2.07851548047788
"31","core_black.1.N.1.NA.NA","2012",8.2367223206261,0.466133423818701,1.35511830140656,"core_black",1,"N",1,NA,"N",NA,-1.07222681808199,2.10860248816423
"32","core_black.1.N.1.NA.NA","2013",8.36951388466647,0.443070065540453,1.3486404619906,"core_black",1,"N",1,NA,"N",NA,-1.56234450831405,2.12459580451925
"33","core_black.1.N.1.NA.NA","2015",4.76738707857551,0.420806808963219,1.66009874776239,"core_black",1,"N",1,NA,"N",NA,0.358944156698242,1.56179837254345
"34","core_black.1.N.1.NA.NA","2016",4.71625030298821,0.425197578957143,1.6432555435057,"core_black",1,"N",1,NA,"N",NA,-1.07147907376887,1.55101405653984
"35","core_black.1.N.1.NA.NA","2017",9.12283395605438,0.45274804019591,1.39777834819735,"core_black",1,"N",1,NA,"N",NA,-0.708009381866228,2.21078049661175
"36","core_black.1.N.1.NA.NA","2018",0.627468570062607,0.487654046378538,0.899759530151844,"core_black",1,"N",1,NA,"N",NA,-0.319106818412414,-0.466061696780251
"37","core_black.1.N.2.NA.NA","2002",5.47037613735006,0.535541502887323,1.27823551372604,"core_black",1,"N",2,NA,"N",NA,-0.289589058617517,1.69934737775352
"38","core_black.1.N.3.NA.NA","1999",14.9596351654771,0.446533665174166,2.80464137502435,"core_black",1,"N",3,NA,"N",NA,NA,2.70535558491453
"39","core_black.1.N.3.NA.NA","2001",22.5398610682286,0.377756164123897,2.4882795205434,"core_black",1,"N",3,NA,"N",NA,-0.45237770781825,3.11528534480508
"40","core_black.1.N.3.NA.NA","2002",14.738524094428,0.436263180539653,1.69631000743652,"core_black",1,"N",3,NA,"N",NA,-0.289589058617517,2.69046475246895
"41","core_black.1.N.3.NA.NA","2003",14.9002635557219,0.449744768660467,2.80111316191814,"core_black",1,"N",3,NA,"N",NA,0.468574221020838,2.70137890109846
"42","core_black.1.N.3.NA.NA","2004",14.9056406825328,0.451267875669911,2.81044469044878,"core_black",1,"N",3,NA,"N",NA,-0.679932829356234,2.70173971060964
"43","core_black.1.N.3.NA.NA","2005",14.9047790439029,0.449493351946107,2.76035469633737,"core_black",1,"N",3,NA,"N",NA,0.400374734913259,2.70168190272649
"44","core_black.1.N.3.NA.NA","2006",34.4669470786019,0.354320699954024,2.29263120580308,"core_black",1,"N",3,NA,"N",NA,0.854070754711956,3.54000080911593
"45","core_black.1.N.3.NA.NA","2007",22.4569690754876,0.375809236425886,2.50182700565353,"core_black",1,"N",3,NA,"N",NA,2.08317983280342,3.11160099254098
"46","core_black.1.N.3.NA.NA","2008",48.5925086460494,0.345363964573047,2.71997113933038,"core_black",1,"N",3,NA,"N",NA,-1.3976313856639,3.88346937593978
"47","core_black.1.N.3.NA.NA","2009",15.024200655507,0.451099522156837,2.81904079864756,"core_black",1,"N",3,NA,"N",NA,1.18455059475019,2.70966227804146
"48","core_black.1.N.3.NA.NA","2011",13.910592539166,0.389456076801837,1.73076498533135,"core_black",1,"N",3,NA,"N",NA,-1.27899330959885,2.63265060309896
"49","core_black.1.N.3.NA.NA","2013",13.9563235796813,0.392419316008948,1.72022871253294,"core_black",1,"N",3,NA,"N",NA,-1.56234450831405,2.63593270875948
"50","core_black.1.N.3.NA.NA","2016",2.76010286077392,0.487694129062292,2.02325967968659,"core_black",1,"N",3,NA,"N",NA,-1.07147907376887,1.01526794743096
"51","core_black.1.N.3.NA.NA","2017",14.8406162451094,0.374662150173839,2.32572361734457,"core_black",1,"N",3,NA,"N",NA,-0.708009381866228,2.69736776282783
"52","core_black.1.N.3.NA.NA","2018",37.0665788756822,0.29221234831801,2.43394285460823,"core_black",1,"N",3,NA,"N",NA,-0.319106818412414,3.61271572468376
"53","core_black.1.N.3.NA.NA","2019",37.0296178351679,0.444472212073601,2.59175353448909,"core_black",1,"N",3,NA,"N",NA,0.258627082989807,3.61171807446092
"54","core_black.1.N.4.NA.NA","1999",10.7803771376174,0.606573548300451,1.4895006216392,"core_black",1,"N",4,NA,"N",NA,NA,2.37772754980557
"55","core_black.1.N.4.NA.NA","2001",23.5179500498141,0.345599281101927,2.00689927637189,"core_black",1,"N",4,NA,"N",NA,-0.45237770781825,3.15776396148597
"56","core_black.1.N.4.NA.NA","2002",19.1348141063339,0.397859742545813,2.02082610880129,"core_black",1,"N",4,NA,"N",NA,-0.289589058617517,2.95150940397988
"57","core_black.1.N.4.NA.NA","2003",12.7908622058721,0.353741891654662,2.13023216301825,"core_black",1,"N",4,NA,"N",NA,0.468574221020838,2.5487310258184
"58","core_black.1.NE.1.NA.NA","2010",14.9653206025218,0.451838146858348,2.80487460146227,"core_black",1,"NE",1,NA,"NE",NA,0.19376996922897,2.70573556456478
"59","core_black.1.NE.1.NA.NA","2011",3.17069064562009,0.605054028872194,1.33138388298315,"core_black",1,"NE",1,NA,"NE",NA,-1.27899330959885,1.15394943343991
"60","core_black.1.NE.1.NA.NA","2012",12.2452050780322,0.451154178229921,2.10599434501791,"core_black",1,"NE",1,NA,"NE",NA,-1.07222681808199,2.50513443816361
"61","core_black.1.NE.1.NA.NA","2013",21.4083278611939,0.358220515700376,2.0480750578917,"core_black",1,"NE",1,NA,"NE",NA,-1.56234450831405,3.06377999871989
"62","core_black.1.NE.1.NA.NA","2019",9.73892672088957,0.48129987268134,1.46756325301531,"core_black",1,"NE",1,NA,"NE",NA,0.258627082989807,2.27613091865561
"63","core_black.1.NE.3.NA.NA","2011",15.2928980558962,0.411970281588856,1.88707572657314,"core_black",1,"NE",3,NA,"NE",NA,-1.27899330959885,2.72738854128061
"64","core_black.1.NE.3.NA.NA","2013",13.1200011819695,0.398022007491219,1.82495593530818,"core_black",1,"NE",3,NA,"NE",NA,-1.56234450831405,2.57413787360508
"65","core_black.1.NE.3.NA.NA","2016",14.433259637872,0.5135252658885,2.26190019671129,"core_black",1,"NE",3,NA,"NE",NA,-1.07147907376887,2.66953524040619
"66","core_black.1.NE.3.NA.NA","2017",27.9915959354895,0.397477087648733,2.17846280963446,"core_black",1,"NE",3,NA,"NE",NA,-0.708009381866228,3.33190431996154
